🔓┃解锁,#genre#
🟩微信公众号,http://175.24.189.226/tz/gzh.mp4

🟩玉玉软件库,http://8.210.232.168/tuiguang/tg.mp4

🟩回复密码,http://8.210.232.168/tuiguang/tg.mp4
CCTV1,https://xn--5nqxcz3am3cb7e94xzy6aa2935d.xyz/php/yangshipin.php.php?id=cctv1
繁花,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/4/224/3221228710/index.m3u8
繁花,http://[2409:8087:2001:20:2800:0:df6e:eb05]/ott.mobaibox.com/PLTV/4/224/3221228710/index.m3u8
天映频道,http://op-group1-swiftservehd-1.dens.tv/h/h212/02.m3u8
邵氏影院,http://43.138.170.29:35455/douyu/4246519

Now 星影台,http://ali.hlspull.yximgs.com/live/nowxyot3a888221300-cfuu78258.flv
Now 爆谷台,http://ali.hlspull.yximgs.com/live/nowbgggggt3a888221300-cfuu78258.flv
TVB 黄金华剧台,http://ali.hlspull.yximgs.com/live/tvbhjhjjjhyt3a888221300-cfuu78258.flv
美亚电影(粤),http://ali.hlspull.yximgs.com/live/myyyydyt3a888221300-cfuu78258.flv

重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?t=Q3ZTI5YWVmMmUwM==&d=7e29aef2e03907f&pid=&cid=20&u=freeuser&l=001&sid=My5f5evM7A+JM7kBEt7zRg==&r=20240116195900&e=20240117195900&nc=5juVZbdBPOgB&a=7&v=2&hlsSessionID=7114844658832085543&srchost=172.16.22.158:8060&gid=1cTuE8i8Z%2F6MoBf3Sw1THw%3D%3D
音乐欣赏,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAguOaa4gUo_J_z6gI.mp4

豆瓣高分http://43.138.170.29:35455/douyu/8770422



纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8

纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8






央视新闻·正直播1,https://live-play.cctvnews.cctv.com/cctv/merge1.m3u8
央视新闻·正直播2,https://live-play.cctvnews.cctv.com/cctv/merge2.m3u8
央视新闻·正直播3,https://live-play.cctvnews.cctv.com/cctv/merge3.m3u8
央视新闻·正直播4,https://live-play.cctvnews.cctv.com/cctv/merge4.m3u8
央视新闻·正直播5,https://live-play.cctvnews.cctv.com/cctv/merge5.m3u8
央视新闻·正直播6,https://live-play.cctvnews.cctv.com/cctv/merge6.m3u8
央视新闻·正直播7,https://live-play.cctvnews.cctv.com/cctv/merge7.m3u8
央视新闻·正直播8,https://live-play.cctvnews.cctv.com/cctv/merge8.m3u8
央视新闻·正直播9,https://live-play.cctvnews.cctv.com/cctv/merge9.m3u8
央视新闻·正直播10,https://live-play.cctvnews.cctv.com/cctv/merge10.m3u8
央视新闻·正直播11,https://live-play.cctvnews.cctv.com/cctv/merge11.m3u8

▶️┃央视,#genre#
CCTV-1 综合,https://xn--5nqxcz3am3cb7e94xzy6aa2935d.xyz/php/yangshipin.php?id=cctv1
CCTV-2 财经,https://xn--5nqxcz3am3cb7e94xzy6aa2935d.xyz/php/yangshipin.php?id=cctv2
CCTV-3 综艺,https://xn--5nqxcz3am3cb7e94xzy6aa2935d.xyz/php/yangshipin.php?id=cctv3
CCTV-4 中文国际,https://xn--5nqxcz3am3cb7e94xzy6aa2935d.xyz/php/yangshipin.php?id=cctv4
